	Year	Lag1	Lag2	Volume	Today	Direction			LD1		LD1Lag1	LD1Lag2	Score	-0.001008638		Group Means					?^-1 (mu_up - mu_down)			Lag1_unscaled	Lag2_unscaled	Raw Score	Lag1Scale	Lag2Scale			-8.70246E-05	0.086316562
1	2001	0.381	-0.192	1.1913	0.959	Up		Lag1	-0.642019		-0.244609239	0.098597626	-0.146011613	1.000431197			Lag1	Lag2			-0.055392991	-0.044306975		-0.02110473	0.008506939	-0.012597791	-0.243495622	0.099563323	0.00	0.00		
2	2001	0.959	0.381	1.2965	1.032	Up		Lag2	-0.5135293		-0.615696221	-0.195654663	-0.811350884			Down	0.04279022	0.03389409						-0.053121879	-0.016880957	-0.070002836	-0.614422684	-0.194562112	0.00	0.00		
3	2001	1.032	0.959	1.4112	-0.623	Down			Mean		-0.662563608	-0.492474599	-1.155038207			Up	-0.03954635	-0.03132544						-0.057165567	-0.042490389	-0.099655955	-0.661269873	-0.491254086	0.00	0.00		
4	2001	-0.623	1.032	1.276	0.614	Up		Lag1	0.000961924		0.399977837	-0.529962238	-0.129984401											0.034509833	-0.045724798	-0.011214964	0.40081367	-0.528725564	0.00	0.00		
5	2001	0.614	-0.623	1.2057	0.213	Up		Lag2	0.000761523		-0.394199666	0.319928754	-0.074270912			Up - Down	-0.08233657	-0.06521953						-0.034011297	0.027603245	-0.006408051	-0.393021583	0.320799033	0.00	0.00		
6	2001	0.213	0.614	1.3491	1.392	Up			StdDev		-0.136750047	-0.31530699	-0.452057037											-0.011798707	-0.027204482	-0.039003189	-0.135682911	-0.314162856	0.00	0.00		
7	2001	1.392	0.213	1.445	-0.403	Down		Lag1	1.229665527		-0.893690448	-0.109381741	-1.003072189											-0.077107044	-0.009437386	-0.086544429	-0.892297109	-0.108326383	0.00	0.00		
8	2001	-0.403	1.392	1.4078	0.027	Up		Lag2	1.229680676		0.258733657	-0.714832786	-0.456099129											0.022323375	-0.061675309	-0.039351933	0.259630359	-0.713516413	0.00	0.00		
9	2001	0.027	-0.403	1.164	1.303	Up					-0.017334513	0.206952308	0.189617795											-0.001495611	0.017855711	0.0163601	-0.01631884	0.207871292	0.00	0.00		
10	2001	1.303	0.027	1.2326	0.287	Up					-0.836550757	-0.013865291	-0.850416048											-0.072177067	-0.001196288	-0.073373356	-0.835182042	-0.012851111	0.00	0.00		
